"university","career","inscription_date","name","gender","age","postal_code","email"
"UNIVERSIDAD DE FLORES","INGENIERÍA EN INFORMÁTICA","2020-12-09","DANIEL BROWN","M","1939-09-29","1633","KHODGES@GMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2021-02-19","HAYLEY HOLMES","F","1926-03-07","6507","RBATES@YAHOO.COM"
"UNIVERSIDAD DE FLORES","ACTUARIO ","2021-04-22","VERONICA ALEXANDER","F","1966-11-16","6201","BROWNJAMES@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2021-08-25","HANNAH JEFFERSON","F","1971-11-29","6557","FRICHARDSON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2021-08-16","AMANDA TERRY","F","1920-03-27","3708","SJOHNSTON@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2019-12-28","BILLY BLAIR","M","1983-09-18","6734","ADAM75@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2020-08-14","SETH GARRETT","M","1952-06-30","4158","VERONICA97@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS","2020-09-11","MS. AMY SCOTT","F","1991-05-12","5777","DMADDEN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2021-06-07","KEVIN MCKNIGHT","M","2008-04-30","7249","MADDENSHAWN@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2021-10-26","TIMOTHY JIMENEZ","M","1997-11-17","7318","MICHELLE56@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2020-08-29","MISS KATHERINE BROWN","F","1937-06-16","9411","SAMANTHA22@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS AMBIENTALES","2020-09-18","DAVID HUBER","M","1952-04-02","4605","WWEBB@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","ACTUARIO ","2021-06-17","MR. FRANCISCO BARNES","M","1916-04-01","1635","LATASHA16@YAHOO.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2021-03-17","CYNTHIA VEGA","F","2013-06-11","8521","HBROWN@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ADMINISTRACIÓN ","2021-03-18","TERESA TREVINO","F","1921-02-06","6385","KELLY84@YAHOO.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2020-09-06","STEVEN MUNOZ","M","1955-03-26","5381","CHRISTOPHER00@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2020-01-03","THERESA MCLAUGHLIN","F","1911-03-08","3241","TCOLE@GMAIL.COM"
"UNIVERSIDAD DE FLORES","FARMACIA","2021-06-21","RACHEL MONTOYA","F","1929-01-17","1718","HERRERAJANICE@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS BIOLÓGICAS","2020-04-19","TRACY GONZALEZ","F","1922-02-07","7630","XBOWEN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2020-12-22","TIM COX","M","2004-02-27","5622","ALICIAPEARSON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA EN INFORMÁTICA","2020-01-12","MICHAEL MOLINA","M","1964-04-01","3061","MBAKER@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2021-12-28","JEANETTE MCGEE","F","2003-07-29","3085","GROSSSHANE@YAHOO.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2021-11-05","WESLEY BLANKENSHIP","M","1981-08-18","8336","WALLACERICHARD@YAHOO.COM"
"UNIVERSIDAD DE FLORES","DISEÑO INDUSTRIAL","2020-12-22","JOANN DOMINGUEZ","F","1916-07-28","3308","ELIZABETH50@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2021-09-06","CHARLES JORDAN","M","2017-07-04","3589","OWEAVER@YAHOO.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA ELECTRÓNICA","2021-10-12","SAVANNAH MCKENZIE","F","1935-03-20","1755","JONATHANWILLIAMS@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PSICOLOGÍA","2019-10-05","KRISTINA STARK","F","1979-03-26","3151","MARCOSANDOVAL@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2020-10-19","MRS. BREANNA ANDERSON MD","F","1955-09-27","5622","RREILLY@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA EN INFORMÁTICA","2021-07-08","ROBERT SMITH","M","2019-02-05","5474","PAMELA22@YAHOO.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2021-10-17","SAMANTHA CLARK","F","1993-11-07","7263","CALVINLEWIS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2019-10-09","TODD WILSON","M","1936-02-12","8301","CARRLESLIE@GMAIL.COM"
"UNIVERSIDAD DE FLORES","FARMACIA","2020-07-14","JESSICA HARRIS","F","1976-02-14","2342","APRILRIVERA@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","ACTUARIO ","2020-03-14","MELISSA BROWN","F","1959-04-06","3734","RICHARD65@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2020-08-14","JENNIFER VINCENT","F","1998-07-22","8308","JANETGARZA@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ","2021-04-07","AARON PAGE","M","2005-05-28","3003","MONICAZAMORA@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2021-11-19","TONY ROGERS","M","1905-11-13","1716","JO29@GMAIL.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2020-11-20","IAN LEWIS","M","2006-04-29","2508","KIMANN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","AGRONOMÍA","2021-03-07","MARIA WILLIAMS","F","1919-08-04","9310","CINDYPEARSON@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS AMBIENTALES","2020-09-08","ALEXANDER WILLIAMS","M","2008-05-21","4163","LESLIE97@GMAIL.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2020-08-03","SEAN LYONS","M","1979-12-30","3338","DOUGLASHINES@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN TERAPIA OCUPACIONAL","2020-06-19","TIMOTHY HUGHES","M","1910-07-18","7208","BLAIRMICHAEL@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2021-08-27","JOSHUA PORTER","M","1961-03-10","5611","ZHICKS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","FARMACIA","2020-03-22","HAROLD RAMIREZ","M","2007-08-25","3460","CHARLES28@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2021-10-10","JAMES WHITE","M","1909-04-14","1602","ELUNA@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO INDUSTRIAL","2021-08-03","CHRISTOPHER PAGE","M","1929-07-07","1611","MARIESCHMIDT@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2020-03-06","ANGEL BELL","M","1933-04-03","8201","JOSEPHROBERTSON@GMAIL.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2021-11-30","PENNY WATSON","F","1935-11-07","5310","ANTHONY20@GMAIL.COM"
"UNIVERSIDAD DE FLORES","AGRONOMÍA","2019-12-17","KYLE TRAN","M","1970-07-31","3105","JASONHOLLAND@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2020-11-11","EMILY WILSON","F","1939-05-20","3328","MARK19@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS AMBIENTALES","2019-12-15","ELIZABETH HERNANDEZ","F","1962-02-08","8200","MARKLEWIS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN TERAPIA OCUPACIONAL","2020-03-24","KRISTIN RODRIGUEZ","F","1925-06-03","5700","BRENDAREED@YAHOO.COM"
"UNIVERSIDAD DE FLORES","FARMACIA","2020-05-21","KATHRYN HESS","F","1909-12-27","1744","HEIDI08@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2021-12-05","LINDA MACIAS","F","1941-03-22","2311","POOLEMARY@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS BIOLÓGICAS","2020-12-04","LAURA CLAY","F","2003-08-23","1659","KELLYJORDAN@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2021-01-16","BRIAN ALEXANDER","M","1910-06-03","3706","MPOWELL@GMAIL.COM"
"UNIVERSIDAD DE FLORES","ACTUARIO ","2020-06-15","JOSHUA GONZALEZ","M","1921-12-26","3260","JAMES51@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ","2020-07-19","KATHRYN ROBERTSON","F","2002-01-06","6367","MICHAELFLOYD@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","AGRONOMÍA","2021-01-18","ERIK ADAMS","M","2009-05-30","6077","VICTOR43@YAHOO.COM"
"UNIVERSIDAD DE FLORES","FARMACIA","2020-12-27","SARA HANSEN","F","1958-05-17","5572","MDAVIS@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2021-01-29","FRANK FIELDS","M","1908-04-14","3531","KATHY78@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS BIOLÓGICAS","2021-05-09","STEPHANIE HALL","F","1917-03-20","3716","SEANBLAKE@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2021-06-16","MELISSA KENT","F","1919-02-21","8201","BREESE@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN TERAPIA OCUPACIONAL","2020-02-27","GARRETT DIAZ","M","1989-10-10","3144","JCORTEZ@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2020-07-07","STEPHANIE WALKER","F","1937-07-21","3105","STEVEN43@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2021-12-13","MICHAEL AVERY","M","2010-08-08","3371","CAITLINJONES@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PSICOLOGÍA","2021-05-05","KRISTI WEBB","F","1924-12-21","4640","NMCCOY@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2020-10-27","SANDRA WHITE","F","2013-03-17","6476","TARA67@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA POLÍTICA ","2020-07-11","PENNY SMITH","F","1967-12-20","6015","DILLON67@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2021-05-25","KAYLA FLORES","F","1919-03-23","6022","JORDANWENDY@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2021-12-04","KIMBERLY ROGERS","F","2000-06-12","8187","CHAD22@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2020-03-01","KATHERINE FLORES","F","2016-09-09","6005","FRANK40@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2020-12-09","LOGAN MELTON","M","1926-11-12","6405","KAYLA62@GMAIL.COM"
"UNIVERSIDAD DE FLORES","ACTUARIO ","2019-11-04","JOHN VILLARREAL","M","1943-08-24","3263","UCARTER@YAHOO.COM"
"UNIVERSIDAD DE FLORES","MEDICINA","2021-05-09","ALAN BAILEY","M","1945-05-16","5592","DAVIDNORRIS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS AMBIENTALES","2020-05-30","DANNY CROSS","M","1988-05-31","3412","SOLOMONASHLEY@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","ARQUITECTURA","2020-01-21","SCOTT PARKER","M","1907-05-21","7103","CBRADFORD@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA POLÍTICA ","2020-06-28","MARK ERICKSON","M","1945-05-26","1980","AMBERMOORE@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2020-08-10","TOMMY DYER","M","2001-01-24","2456","CHRISTINA03@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2020-05-10","MONIQUE WATERS","F","1965-05-26","3509","JOSEPHCAMACHO@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2021-06-04","NATALIE SCHULTZ","F","1969-05-13","4144","COOPERMICHAEL@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2021-02-14","JUSTIN GATES","M","2003-07-27","5341","FRYNICOLE@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ADMINISTRACIÓN ","2021-10-04","ALLISON JOHNSON","F","1990-06-09","5513","WATSONNICHOLAS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2021-09-07","CHERYL SANCHEZ","F","1992-03-22","2242","CLARKEKATHY@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","TÉCNICO PARA BIOTERIOS ","2021-03-15","HOWARD MUNOZ","M","1981-02-03","3285","JGONZALEZ@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PRODUCCIÓN DE BIOIMAGENES","2021-03-10","JOHN NORRIS","M","1993-07-09","6612","ADRIANSANDERS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2021-11-29","KRISTEN WILLIAMS","F","1954-01-12","1613","ROBERT47@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PSICOLOGÍA","2019-11-13","JASON HANSEN","M","1908-10-30","3129","ZACHARYBOONE@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2021-09-28","REBECCA MIRANDA","F","2018-10-17","5717","PHILIPEDWARDS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA MECÁNICA","2020-09-11","MICHAEL DOWNS","M","1918-11-18","3109","YNELSON@GMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA ELECTRÓNICA","2020-07-15","ALAN FOX DDS","M","1935-08-22","1649","RENEE42@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2021-12-07","PETER FITZGERALD","M","2020-05-07","3374","ANTHONY69@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ","2020-05-17","MICHAEL HUTCHINSON","M","2002-06-24","5369","DENNIS70@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","AGRONOMÍA","2020-11-07","SARAH HODGE","F","1926-08-11","2615","EWILLIS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2020-12-26","HEATHER LOPEZ","F","1989-07-22","3522","DAVILALORI@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN GESTIÓN DE AGROALIMENTOS","2020-01-24","JESSICA SMITH","F","1906-10-27","3246","RGROSS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA ELECTRÓNICA","2021-08-08","GABRIEL RAMOS","M","2010-01-02","6603","ANTHONYYOUNG@GMAIL.COM"
"UNIVERSIDAD DE FLORES","MEDICINA","2020-08-14","KENNETH MAXWELL","M","1912-05-28","5263","ANDREA04@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2020-09-29","KIMBERLY DANIELS","F","1994-11-01","1665","FOSTERJOSHUA@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PSICOLOGÍA","2021-08-09","CHRISTINA DAVIS","F","1975-01-19","5276","THEODORE15@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2021-07-24","PARKER LOVE","M","1932-07-02","4113","MFRAZIER@GMAIL.COM"
"UNIVERSIDAD DE FLORES","ACTUARIO ","2020-05-13","ANGELA ESCOBAR","F","1934-01-02","8126","PMILLER@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2020-12-26","TYLER DAVIS","M","1962-01-15","1754","THOMPSONRANDY@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ","2021-04-03","MICHELLE FERNANDEZ","F","2015-01-10","3204","JOSHUASMITH@GMAIL.COM"
"UNIVERSIDAD DE FLORES","INGENIERÍA EN INFORMÁTICA","2019-10-24","STEPHANIE ROSS","F","1932-06-15","7307","RAYMONDNEAL@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","MEDICINA","2021-12-19","PETER FOLEY","M","1976-08-08","5565","TONYA89@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","MEDICINA","2021-12-17","BRANDY GARCIA","F","1988-01-20","2340","NFRANKLIN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS","2020-10-03","ANNA SCOTT","F","1906-12-03","5411","BOYDBRENDA@YAHOO.COM"
"UNIVERSIDAD DE FLORES","CIENCIAS VETERINARIAS","2020-11-27","JESSICA LEE","F","2018-02-12","8175","RHAMPTON@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2020-05-16","JUSTIN LEE","M","1946-01-06","2800","RICEVICTORIA@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","MEDICINA","2021-07-19","MARY GARZA","F","1924-04-20","5301","ATKINSONMICHELLE@YAHOO.COM"
"UNIVERSIDAD DE FLORES","AGRONOMÍA","2021-06-11","PAIGE GUZMAN","F","1918-07-15","4634","RBAILEY@GMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2021-03-10","GARY SHERMAN","M","1920-06-27","8303","WILLIAMFERGUSON@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2020-05-11","JUSTIN MILLER","M","1967-10-20","2800","PHILLIP22@YAHOO.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2021-04-19","KATIE MORGAN","F","1955-03-17","2126","RACHELOWENS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","DISEÑO DE IMAGEN Y SONIDO","2021-08-26","JAMES PRICE","M","1916-07-20","4601","WMIRANDA@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN","2020-02-13","JENNIFER PALMER","F","1939-07-11","6401","KIMBERLY95@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS GEOLÓGICAS","2021-09-11","NICHOLAS BECK","M","1990-01-17","5261","BRIANSTANTON@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2019-11-23","CARL MCCLAIN","M","1916-01-20","7605","OADAMS@YAHOO.COM"
"UNIVERSIDAD DE FLORES","BIOQUÍMICA","2020-02-21","MEGAN PHELPS","F","1928-07-04","6472","WCOOK@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN SOCIOLOGÍA ","2021-11-05","JOSHUA LAMB","M","1981-06-06","4155","TAMARAMCDONALD@GMAIL.COM"
"UNIVERSIDAD DE FLORES","CONTADOR PÚBLICO ","2020-02-01","JULIA CLARKE","F","1906-11-16","3103","SCOTT48@YAHOO.COM"
"UNIVERSIDAD DE FLORES","DISEÑO INDUSTRIAL","2021-12-08","NATALIE PAYNE","F","1920-10-21","4640","QERICKSON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE","2021-08-09","BRIAN RIVERA","M","1954-06-23","4000","ROBERTSONTHOMAS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2020-06-11","ANTHONY DAWSON","M","1946-04-15","6000","CHARLESESPARZA@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2020-12-10","GREGORY POWERS","M","1905-12-11","3105","JOSHUA53@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2020-07-16","JENNIFER BLACKWELL","F","1927-10-28","3200","FOWLERMATTHEW@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ADMINISTRACIÓN ","2020-02-16","KRISTIN WOODARD","F","2020-05-01","1625","LESLIEWATTS@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ARTES","2021-10-21","HEIDI CROSS","F","1912-11-19","1678","AMBERSANTOS@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS AMBIENTALES","2020-07-13","MARY ANDERSON","F","2001-03-30","7221","KBRANDT@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","FARMACIA","2020-05-31","ANTHONY DOUGLAS MD","M","1949-09-24","2907","SMITHSHARON@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS AMBIENTALES","2021-06-06","ASHLEY PARKS","F","1976-10-12","2804","NICHOLASNEWMAN@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","2021-06-28","DAWN RAMIREZ","F","1988-07-18","2935","LOUISPINEDA@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ","2021-05-01","REBECCA JOHNSON","F","1978-02-16","5319","NICOLE28@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN TERAPIA OCUPACIONAL","2020-10-01","AMBER FIELDS","F","1989-11-27","4616","CYNTHIABRYANT@YAHOO.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN MUSICOTERAPIA","2021-05-25","JEFFREY CLARK","M","1915-11-18","3580","JEFFREY28@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ","2020-07-28","JOHN RAYMOND","M","1916-11-13","3029","FLEE@HOTMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN CIENCIA POLÍTICA ","2021-12-23","WILLIAM JARVIS","M","2021-02-02","8416","WILLIAMSNICOLE@GMAIL.COM"
"UNIVERSIDAD DE FLORES","LICENCIATURA EN ADMINISTRACIÓN ","2019-12-25","AMY BURNETT","F","1946-07-18","8150","JONESPAUL@GMAIL.COM"
